gill_glon,gill_glat,gill_mlon,gill_mlat
267.976,63.5768,-23.2174,73.2318
267.657,62.8571,-23.5928,72.5539
267.395,62.2407,-23.8945,71.9711
267.179,61.7095,-24.1413,71.4669
266.997,61.2485,-24.3463,71.0282
266.842,60.8455,-24.5190,70.6436
266.710,60.4906,-24.6663,70.3042
266.594,60.1759,-24.7935,70.0026
266.493,59.8948,-24.9043,69.7327
266.403,59.6421,-25.0019,69.4898
266.324,59.4136,-25.0885,69.2698
266.252,59.2056,-25.1660,69.0693
266.187,59.0153,-25.2358,68.8857
266.128,58.8403,-25.2992,68.7166
266.074,58.6786,-25.3570,68.5602
266.025,58.5283,-25.4101,68.4149
265.979,58.3882,-25.4591,68.2791
265.936,58.2570,-25.5045,68.1519
265.896,58.1335,-25.5469,68.0322
265.859,58.0170,-25.5865,67.9191
265.824,57.9066,-25.6237,67.8119
265.791,57.8016,-25.6588,67.7099
265.759,57.7014,-25.6921,67.6125
265.729,57.6056,-25.7237,67.5192
265.700,57.5136,-25.7539,67.4297
265.673,57.4250,-25.7827,67.3434
265.647,57.3394,-25.8104,67.2600
265.621,57.2565,-25.8371,67.1793
265.597,57.1761,-25.8629,67.1009
265.573,57.0977,-25.8878,67.0245
265.550,57.0213,-25.9120,66.9498
265.527,56.9464,-25.9356,66.8768
265.505,56.8730,-25.9586,66.8051
265.483,56.8008,-25.9811,66.7346
265.462,56.7296,-26.0032,66.6650
265.441,56.6593,-26.0249,66.5962
265.421,56.5896,-26.0463,66.5281
265.400,56.5204,-26.0675,66.4604
265.380,56.4516,-26.0884,66.3930
265.360,56.3829,-26.1093,66.3257
265.340,56.3142,-26.1300,66.2585
265.320,56.2454,-26.1507,66.1911
265.300,56.1762,-26.1713,66.1233
265.280,56.1066,-26.1920,66.0551
265.260,56.0364,-26.2129,65.9862
265.239,55.9653,-26.2338,65.9165
265.219,55.8933,-26.2550,65.8458
265.198,55.8201,-26.2763,65.7739
265.177,55.7455,-26.2980,65.7007
265.155,55.6693,-26.3201,65.6258
265.134,55.5912,-26.3426,65.5491
265.111,55.5111,-26.3655,65.4704
265.088,55.4286,-26.3890,65.3892
265.065,55.3435,-26.4131,65.3055
265.040,55.2554,-26.4379,65.2187
265.015,55.1639,-26.4636,65.1286
264.989,55.0686,-26.4902,65.0348
264.962,54.9691,-26.5177,64.9368
264.934,54.8649,-26.5463,64.8340
264.904,54.7553,-26.5763,64.7259
264.873,54.6398,-26.6076,64.6119
264.841,54.5174,-26.6406,64.4910
264.806,54.3874,-26.6754,64.3626
264.770,54.2486,-26.7121,64.2254
264.731,54.1000,-26.7512,64.0784
264.690,53.9400,-26.7928,63.9200
264.645,53.7671,-26.8373,63.7487
264.598,53.5792,-26.8852,63.5625
264.546,53.3740,-26.9369,63.3589
264.490,53.1486,-26.9930,63.1351
264.428,52.8997,-27.0540,62.8878
264.361,52.6230,-27.1208,62.6125
264.286,52.3134,-27.1943,62.3042
264.203,51.9646,-27.2755,61.9564
264.111,51.5688,-27.3658,61.5613
264.008,51.1165,-27.4664,61.1091
263.891,50.5955,-27.5793,60.5875
263.759,49.9912,-27.7062,59.9816
263.609,49.2855,-27.8492,59.2728
263.438,48.4569,-28.0104,58.4389
