array,location_code,name,latitude,longitude
REGO,GILL,Gillam,56.376,-94.64
REGO,FSIM,Fort Simpson,61.756,-121.23
REGO,FSMI,Fort Smith,60.017,-111.95
REGO,RANK,Rankin Inlet,62.82,-92.11
REGO,RESU,Resolute Bay,74.70,-94.83
REGO,LUCK,Lucky Lake,51.15,-107.10
REGO,ATHA,Athabasca,54.71,-113.28
REGO,TALO,Taloyoak,69.53,-93.53
THEMIS,BMLS,Bay Mills,46.48,-84.69
THEMIS,CCNV,Carson City,39.19,-119.78
THEMIS,CHBG,Chibougamau,49.814,-74.419
THEMIS,DRBY,Derby,44.95,-72.13
THEMIS,GBAY,Goose Bay,53.316,-60.46
THEMIS,HOTS,Hot Springs,47.59,-114.66
THEMIS,KAPU,Kapuskasing,49.392,-82.32
THEMIS,KIAN,Kiana,66.971,-160.438
THEMIS,KUUJ,Kuujjuaq,58.1,-68.4
THEMIS,LOYS,Loysburg,40.18,-78.38
THEMIS,MCGR,Mcgrath,62.953,-155.596
THEMIS,PGEO,Prince George,53.815,-122.828
THEMIS,PINE,Pine Ridge,43.08,-102.59
THEMIS,PTRS,Petersburg,56.81,-132.95
THEMIS,RMUS,Remus,43.66,-85.14
THEMIS,SNAP,Snap Lake,63.58,-110.87
THEMIS,SWNO,Shawano,44.78,-88.6
THEMIS,TPAS,The Pas,53.994,-100.941
THEMIS,UKIA,Ukiah,45.14,-118.93
THEMIS,WHIT,Whitehorse,61.01,-135.223
